"Name","Type","Id","Native"
"Dynamics 365 Commerce Merchandising","connector","/providers/Microsoft.PowerApps/apis/shared_commercemerchandising","True"
"Commercient","connector","/providers/Microsoft.PowerApps/apis/shared_commercientcpq","False"
"Microsoft Dataverse (legacy)","connector","/providers/Microsoft.PowerApps/apis/shared_commondataservice","True"
"Microsoft Dataverse","connector","/providers/Microsoft.PowerApps/apis/shared_commondataserviceforapps","True"
"Companies House (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_companieshouseip","False"
"Company Connect","connector","/providers/Microsoft.PowerApps/apis/shared_companyconnect","True"
"Connect2All","connector","/providers/Microsoft.PowerApps/apis/shared_connect2all","False"
"Connect2All on-premises","connector","/providers/Microsoft.PowerApps/apis/shared_connect2allonpremises","False"
"Connective eSignatures","connector","/providers/Microsoft.PowerApps/apis/shared_connectiveesignatures","False"
"connpass (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_connpassip","False"
"ConsenSys Ethereum","connector","/providers/Microsoft.PowerApps/apis/shared_consensysethereum","False"
"Contacts Pro","connector","/providers/Microsoft.PowerApps/apis/shared_contactspro","False"
"Converter by Power2Apps","connector","/providers/Microsoft.PowerApps/apis/shared_converterbypower2apps","False"
"ConvertKit (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_convertkitip","False"
"Corporate Buzzword Generator (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_corporatebuzzwordip","False"
"COSMO Bot","connector","/providers/Microsoft.PowerApps/apis/shared_cosmobot","False"
"Coupa (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_coupaip","False"
"COVID-19 JHU CSSE (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_covid19jhucsseip","False"
"CPQSync","connector","/providers/Microsoft.PowerApps/apis/shared_cpqsync","False"
"CPSC Recalls Retrieval (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_cpscrecallsretrievalip","False"
"CQC Data (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_cqcdata","False"
"CraftMyPDF (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_craftmypdfip","False"
"CRM Bot","connector","/providers/Microsoft.PowerApps/apis/shared_crmbot","False"
"Dynamics 365 Customer Insights","connector","/providers/Microsoft.PowerApps/apis/shared_customerinsights","True"
"Cyberday","connector","/providers/Microsoft.PowerApps/apis/shared_cyberday","False"
"CyberProof","connector","/providers/Microsoft.PowerApps/apis/shared_cyberproof","False"
"D7SMS","connector","/providers/Microsoft.PowerApps/apis/shared_d7sms","False"
"DadJokesIO (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dadjokesioip","False"
"DailyMed (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dailymedip","False"
"Test ARM - DO NOT USE","connector","/providers/Microsoft.PowerApps/apis/shared_dancharttest","False"
"Data8 Data Enrichment","connector","/providers/Microsoft.PowerApps/apis/shared_data8","False"
"Datablend","connector","/providers/Microsoft.PowerApps/apis/shared_datablend","False"
"Power Query Dataflows","connector","/providers/Microsoft.PowerApps/apis/shared_dataflows","False"
"Datamuse (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_datamuseip","False"
"DataScope Forms","connector","/providers/Microsoft.PowerApps/apis/shared_datascopeforms","False"
"DB2","connector","/providers/Microsoft.PowerApps/apis/shared_db2","False"
"DBF2XML","connector","/providers/Microsoft.PowerApps/apis/shared_dbftoxmlconverter","False"
"Decentraland (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_decentralandip","False"
"DeepL","connector","/providers/Microsoft.PowerApps/apis/shared_deepl","False"
"DeepLIP (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_deeplipip","False"
"De Lijn (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_delijnip","False"
"DeskDirector","connector","/providers/Microsoft.PowerApps/apis/shared_deskdirector","False"
"Dexcom (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dexcomip","False"
"DHL Tracking (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dhlshipmenttrackingip","False"
"DiceBear (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dicebearip","False"
"Did You Mean This (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_didyoumeanthisip","False"
"DigitalHumani (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_digitalhumaniip","False"
"Dime.Scheduler","connector","/providers/Microsoft.PowerApps/apis/shared_dimescheduler","False"
"Discord (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_discordip","False"
"Disqus","connector","/providers/Microsoft.PowerApps/apis/shared_disqus","False"
"D&B Optimizer","connector","/providers/Microsoft.PowerApps/apis/shared_dnb","False"
"DocFusion365 ? SP","connector","/providers/Microsoft.PowerApps/apis/shared_docfusion365","False"
"DocJuris","connector","/providers/Microsoft.PowerApps/apis/shared_docjuris","False"
"Docparser","connector","/providers/Microsoft.PowerApps/apis/shared_docparser","False"
"}exghts gen. Document & more","connector","/providers/Microsoft.PowerApps/apis/shared_docq","False"
"Doc To PDF","connector","/providers/Microsoft.PowerApps/apis/shared_doctopdf","False"
"Document AI Konfuzio","connector","/providers/Microsoft.PowerApps/apis/shared_documentaikonfuzio","False"
"Azure Cosmos DB","connector","/providers/Microsoft.PowerApps/apis/shared_documentdb","True"
"Document Merge","connector","/providers/Microsoft.PowerApps/apis/shared_documentmerge","False"
"DocumentsCorePack","connector","/providers/Microsoft.PowerApps/apis/shared_documentscorepackapi","False"
"Docurain","connector","/providers/Microsoft.PowerApps/apis/shared_docurain","False"
"DocuSign","connector","/providers/Microsoft.PowerApps/apis/shared_docusign","False"
"DocuSign Demo","connector","/providers/Microsoft.PowerApps/apis/shared_docusigndemo","False"
"Dokobit Portal","connector","/providers/Microsoft.PowerApps/apis/shared_dokobitportal","False"
"DomainTools Iris Enrich","connector","/providers/Microsoft.PowerApps/apis/shared_domaintoolsirisenric","False"
"DomainTools Iris Investigate","connector","/providers/Microsoft.PowerApps/apis/shared_domaintoolsirisinves","False"
"Do Not Call Reported Calls (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_donotcallreportcallsip","False"
"dox42","connector","/providers/Microsoft.PowerApps/apis/shared_dox42","False"
"DPIRD Radar - West Australia (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dpirdradarip","False"
"DPIRD Science - West Australia (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dpirdscienceip","False"
"DPIRD Weather - West Australia (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dpirdweatherip","False"
"DQ on Demand","connector","/providers/Microsoft.PowerApps/apis/shared_dqondemand","False"
"d.velop","connector","/providers/Microsoft.PowerApps/apis/shared_dvelop","False"
"Dynamics 365 Commerce - Ratings and Reviews","connector","/providers/Microsoft.PowerApps/apis/shared_dynamics365ratingsre","True"
"Fin & Ops Apps (Dynamics 365)","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicsax","False"
"DynamicDocs (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicsdocsip","False"
"Dynamics 365 Fraud Protection","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicsfraudprotect","True"
"Dynamic Signal","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicsignal","False"
"Dynamics NAV","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicsnavision","False"
"Dynamics 365 Business Central (on-premises)","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicssmbonprem","True"
"Dynamics 365 Business Central","connector","/providers/Microsoft.PowerApps/apis/shared_dynamicssmbsaas","True"
"Dynatrace","connector","/providers/Microsoft.PowerApps/apis/shared_dynatrace","False"
"Easy Redmine","connector","/providers/Microsoft.PowerApps/apis/shared_easyredmine","False"
"Easyship (Independent Publisher)","connector","/providers/Microsoft.PowerApps/apis/shared_easyshipip","False"
"EasyVista Service Manager","connector","/providers/Microsoft.PowerApps/apis/shared_easyvista","False"
"Easyvista Self Help","connector","/providers/Microsoft.PowerApps/apis/shared_easyvistaselfhelp","False"
